Photo_Name,lumMean_UV_BLADE,lumSD_UV_BLADE,area_BLADE,maxPower_BLADE,maxFreq_BLADE,propPower_BLADE,sumPower_BLADE,meanPower_BLADE,powerSD_BLADE,G_Mean_BLADE,G_SD_BLADE,B_Mean_BLADE,B_SD_BLADE,UVB_Mean_BLADE,UVB_SD_BLADE,UVR_Mean_BLADE,UVR_SD_BLADE
BC27A16,9.465,0.163,490,49.542,200,0.241,205.98,34.33,11.774,32447.442,4905.575,48819.151,6525.18,13085.483,2078.496,14558.622,2590.25
BC27A43,9.335,0.206,345,29.119,200,0.221,131.766,21.961,6.355,34872.464,5267.453,50970.268,7228.648,11587.667,2272.201,14621.398,2583.428
BC27B106,9.881,0.151,435,235.08,141.421,0.287,819.221,136.537,74.119,46505.743,4650.242,64394.693,4560.342,19801.883,2944.7,22556.906,2710.145
BC27B48,9.675,0.2,460,49.349,200,0.201,245.66,40.943,7.817,36462.967,7166.341,49440.309,7883.586,16235.961,3061.595,17344.558,2896.681
BC27B66,9.677,0.157,414,178.233,200,0.216,824.276,137.379,36.539,45512.406,4433.233,61059.825,3970.638,16175.679,2488.415,17859.139,2015.232
BC28A28,9.523,0.161,518,106.892,200,0.239,448.151,74.692,16.096,40345.853,3809.576,53167.329,3843.174,13882.882,2280.641,15129.089,2244.352
BC29B16,9.264,0.214,314,21.559,200,0.216,99.977,16.663,4.351,30853.192,5269.801,45637.933,4749.028,10824.099,2201.245,11642.06,1951.778
BC2A26,9.332,0.197,422,51.485,200,0.233,221.281,36.88,12.732,40853.732,2286.812,54957.554,4531.496,11534.971,2171.446,13249.936,2290.293
BC2A43_,9.645,0.213,345,39.612,100,0.201,197.283,32.881,6.558,42072.49,7876.116,54094.222,8922.182,15846.671,3432.315,18799.462,3228.965
BC2B10L33,9.393,0.295,295,172.271,50,0.276,624.577,104.096,55.085,46305.832,9120.253,60258.698,14659.036,12568.032,3445.46,15133.065,4202.169
BC2B66,9.439,0.189,428,171.22,200,0.211,811.294,135.216,34.951,42494.806,5823.906,60134.767,6311.354,12816.608,2373.386,13737.488,2546.311
BC32B66,9.635,0.159,411,29.873,200,0.225,132.677,22.113,7.237,28710.92,3566.175,45823.432,6676.373,15501.202,2432.003,17096.38,2952.62
BC32B76,9.835,0.158,424,33.67,200,0.221,152.057,25.343,7.482,33965.03,6017.305,48576.783,8300.629,18924.701,2953.493,21009.241,3072.919
BC36A28,9.988,0.132,370,94.397,141.421,0.231,408.309,68.052,24.805,50850.96,3193.219,67527.125,4170.8,21969.232,2947.317,24803.483,2937.687
BC36A38,9.809,0.145,374,103.144,141.421,0.248,416.367,69.395,27.192,44366.574,4311.361,61103.634,5888.715,18417.946,2687.567,20203.504,3124.216
BC36A76,9.872,0.152,350,96.748,141.421,0.24,403.051,67.175,24.788,58284.305,2647.463,68273.851,2458.508,19634.842,2938.153,23052.848,2682.328
BC36A93,9.827,0.148,311,83.009,141.421,0.218,380.536,63.423,22.946,59810.14,2522.367,68513.55,3101.75,18766.065,2767.831,22203.46,2596.999
BC36B16,9.501,0.197,374,209.061,141.421,0.295,708.883,118.147,67.68,40664.23,3435.489,52610.585,6812.313,13664.61,2664.562,16087.753,3264.567
BC42B106,9.482,0.178,453,115.899,70.711,0.237,488.402,81.4,28.793,48449.457,4157.858,62359.833,5721.232,13352.867,2348.595,14568.421,2398.585
BC42B123,9.408,0.135,415,99.63,50,0.329,302.534,50.422,33.347,34244.145,4306.56,45515.138,7169.325,12324.622,1631.133,13888.753,1361.205
BC42B46,9.403,0.182,467,209.971,200,0.24,875.518,145.92,54.097,45816.033,4357.982,62093.289,6914.33,12355.339,2225.163,13106.332,2344.571
BC42B63,9.439,0.22,408,97.598,282.843,0.29,336.041,56.007,23.59,38036.954,8202.806,44941.002,12340.994,12924.256,2787.759,14499.321,2498.582
BC5B16,9.406,0.158,346,29.275,100,0.192,152.175,25.363,3.585,46866.414,5351.579,60637.201,9875.106,12338.137,1870.075,13903.73,1931.657
